time, NIS_laser_, threshold_laser, NIS_radar_, threshold_radar
1477010443050000,0.,5.991,1.74579,7.815
1477010443100000,0.700148,5.991,0.,7.815
1477010443150000,0.,5.991,3.29821,7.815
1477010443200000,0.212122,5.991,0.,7.815
1477010443250000,0.,5.991,1.91332,7.815
1477010443300000,0.265762,5.991,0.,7.815
1477010443350000,0.,5.991,2.05653,7.815
1477010443400000,0.0783781,5.991,0.,7.815
1477010443450000,0.,5.991,0.366269,7.815
1477010443500000,0.735882,5.991,0.,7.815
1477010443550000,0.,5.991,3.4024,7.815
1477010443600000,4.83599,5.991,0.,7.815
1477010443650000,0.,5.991,2.29326,7.815
1477010443700000,0.132954,5.991,0.,7.815
1477010443750000,0.,5.991,0.758686,7.815
1477010443800000,10.0886,5.991,0.,7.815
1477010443850000,0.,5.991,1.86592,7.815
1477010443900000,3.22671,5.991,0.,7.815
1477010443950000,0.,5.991,1.63408,7.815
1477010444000000,2.04872,5.991,0.,7.815
1477010444050000,0.,5.991,3.85403,7.815
1477010444100000,3.37468,5.991,0.,7.815
1477010444150000,0.,5.991,0.590876,7.815
1477010444200000,0.253411,5.991,0.,7.815
1477010444250000,0.,5.991,3.66006,7.815
1477010444300000,2.8267,5.991,0.,7.815
1477010444350000,0.,5.991,4.02773,7.815
1477010444400000,0.638925,5.991,0.,7.815
1477010444450000,0.,5.991,2.72829,7.815
1477010444500000,0.466653,5.991,0.,7.815
1477010444550000,0.,5.991,6.31916,7.815
1477010444600000,0.596492,5.991,0.,7.815
1477010444650000,0.,5.991,6.73869,7.815
1477010444700000,0.687848,5.991,0.,7.815
1477010444750000,0.,5.991,4.32255,7.815
1477010444800000,2.40765,5.991,0.,7.815
1477010444850000,0.,5.991,3.94501,7.815
1477010444900000,0.945616,5.991,0.,7.815
1477010444950000,0.,5.991,3.55579,7.815
1477010445000000,2.59079,5.991,0.,7.815
1477010445050000,0.,5.991,2.24758,7.815
1477010445100000,2.43239,5.991,0.,7.815
1477010445150000,0.,5.991,1.17434,7.815
1477010445200000,0.582753,5.991,0.,7.815
1477010445250000,0.,5.991,1.0667,7.815
1477010445300000,1.06871,5.991,0.,7.815
1477010445350000,0.,5.991,0.912773,7.815
1477010445400000,3.31893,5.991,0.,7.815
1477010445450000,0.,5.991,3.47138,7.815
1477010445500000,2.29589,5.991,0.,7.815
1477010445550000,0.,5.991,10.1395,7.815
1477010445600000,0.897846,5.991,0.,7.815
1477010445650000,0.,5.991,0.146724,7.815
1477010445700000,0.268759,5.991,0.,7.815
1477010445750000,0.,5.991,1.85228,7.815
1477010445800000,2.5305,5.991,0.,7.815
1477010445850000,0.,5.991,3.74429,7.815
1477010445900000,0.949136,5.991,0.,7.815
1477010445950000,0.,5.991,2.3021,7.815
1477010446000000,0.524135,5.991,0.,7.815
1477010446050000,0.,5.991,1.06212,7.815
1477010446100000,0.326195,5.991,0.,7.815
1477010446150000,0.,5.991,1.66048,7.815
1477010446200000,0.291215,5.991,0.,7.815
1477010446250000,0.,5.991,0.774181,7.815
1477010446300000,0.409437,5.991,0.,7.815
1477010446350000,0.,5.991,3.93838,7.815
1477010446400000,0.197788,5.991,0.,7.815
1477010446450000,0.,5.991,1.8202,7.815
1477010446500000,0.400067,5.991,0.,7.815
1477010446550000,0.,5.991,3.35669,7.815
1477010446600000,3.21749,5.991,0.,7.815
1477010446650000,0.,5.991,0.736136,7.815
1477010446700000,1.16731,5.991,0.,7.815
1477010446750000,0.,5.991,0.545388,7.815
1477010446800000,0.129256,5.991,0.,7.815
1477010446850000,0.,5.991,0.102041,7.815
1477010446900000,3.74481,5.991,0.,7.815
1477010446950000,0.,5.991,0.705757,7.815
1477010447000000,5.26159,5.991,0.,7.815
